id,Label,Value,Parm_StDev,type,Yr
10-CAAL,Early_InitAge_10,0.0038237,0,Early_InitAge,1942
10-CAAL,Early_InitAge_9,0.00165448,0,Early_InitAge,1943
10-CAAL,Early_InitAge_8,0.00240015,0,Early_InitAge,1944
10-CAAL,Early_InitAge_7,0.00350358,0,Early_InitAge,1945
10-CAAL,Early_InitAge_6,0.0052449,0,Early_InitAge,1946
10-CAAL,Early_InitAge_5,0.00823004,0,Early_InitAge,1947
10-CAAL,Early_InitAge_4,0.0137677,0,Early_InitAge,1948
10-CAAL,Early_InitAge_3,0.0226735,0,Early_InitAge,1949
10-CAAL,Early_InitAge_2,0.0255844,0,Early_InitAge,1950
10-CAAL,Early_InitAge_1,0.0210071,0,Early_InitAge,1951
10-CAAL,Main_RecrDev_1952,0.0347828,0,Main_RecrDev,1952
10-CAAL,Main_RecrDev_1953,0.0440456,0,Main_RecrDev,1953
10-CAAL,Main_RecrDev_1954,0.0298237,0,Main_RecrDev,1954
10-CAAL,Main_RecrDev_1955,0.00349682,0,Main_RecrDev,1955
10-CAAL,Main_RecrDev_1956,-0.0124581,0,Main_RecrDev,1956
10-CAAL,Main_RecrDev_1957,-0.00909965,0,Main_RecrDev,1957
10-CAAL,Main_RecrDev_1958,0.000829295,0,Main_RecrDev,1958
10-CAAL,Main_RecrDev_1959,0.0258972,0,Main_RecrDev,1959
10-CAAL,Main_RecrDev_1960,0.0205712,0,Main_RecrDev,1960
10-CAAL,Main_RecrDev_1961,0.0200542,0,Main_RecrDev,1961
10-CAAL,Main_RecrDev_1962,0.00409763,0,Main_RecrDev,1962
10-CAAL,Main_RecrDev_1963,-0.0364169,0,Main_RecrDev,1963
10-CAAL,Main_RecrDev_1964,-0.00327065,0,Main_RecrDev,1964
10-CAAL,Main_RecrDev_1965,-0.0525736,0,Main_RecrDev,1965
10-CAAL,Main_RecrDev_1966,-0.0213707,0,Main_RecrDev,1966
10-CAAL,Main_RecrDev_1967,-0.0191835,0,Main_RecrDev,1967
10-CAAL,Main_RecrDev_1968,-0.0656494,0,Main_RecrDev,1968
10-CAAL,Main_RecrDev_1969,0.0185062,0,Main_RecrDev,1969
10-CAAL,Main_RecrDev_1970,-0.036296,0,Main_RecrDev,1970
10-CAAL,Main_RecrDev_1971,-0.0622824,0,Main_RecrDev,1971
10-CAAL,Main_RecrDev_1972,-0.0306506,0,Main_RecrDev,1972
10-CAAL,Main_RecrDev_1973,-0.074214,0,Main_RecrDev,1973
10-CAAL,Main_RecrDev_1974,-0.0828247,0,Main_RecrDev,1974
10-CAAL,Main_RecrDev_1975,-0.0377974,0,Main_RecrDev,1975
10-CAAL,Main_RecrDev_1976,-0.158963,0,Main_RecrDev,1976
10-CAAL,Main_RecrDev_1977,-0.165542,0,Main_RecrDev,1977
10-CAAL,Main_RecrDev_1978,-0.124923,0,Main_RecrDev,1978
10-CAAL,Main_RecrDev_1979,0.056592,0,Main_RecrDev,1979
10-CAAL,Main_RecrDev_1980,-0.00487961,0,Main_RecrDev,1980
10-CAAL,Main_RecrDev_1981,0.18549,0,Main_RecrDev,1981
10-CAAL,Main_RecrDev_1982,-0.261553,0,Main_RecrDev,1982
10-CAAL,Main_RecrDev_1983,0.0189481,0,Main_RecrDev,1983
10-CAAL,Main_RecrDev_1984,-0.279837,0,Main_RecrDev,1984
10-CAAL,Main_RecrDev_1985,-0.102092,0,Main_RecrDev,1985
10-CAAL,Main_RecrDev_1986,-0.308658,0,Main_RecrDev,1986
10-CAAL,Main_RecrDev_1987,-0.169062,0,Main_RecrDev,1987
10-CAAL,Main_RecrDev_1988,0.391746,0,Main_RecrDev,1988
10-CAAL,Main_RecrDev_1989,0.0417972,0,Main_RecrDev,1989
10-CAAL,Main_RecrDev_1990,-0.0522882,0,Main_RecrDev,1990
10-CAAL,Main_RecrDev_1991,-0.0984059,0,Main_RecrDev,1991
10-CAAL,Main_RecrDev_1992,0.0288516,0,Main_RecrDev,1992
10-CAAL,Main_RecrDev_1993,0.285597,0,Main_RecrDev,1993
10-CAAL,Main_RecrDev_1994,0.114408,0,Main_RecrDev,1994
10-CAAL,Main_RecrDev_1995,0.167249,0,Main_RecrDev,1995
